,y,x,street_count,highway,ref
3797515574,51.4341867,-2.5675826,3,,
3797515585,51.4342371,-2.5673673,1,,
3797529815,51.4349483,-2.5693249,3,,
3797529831,51.4351921,-2.5687871,3,,
3797529837,51.4352845,-2.5688629,3,,
3797560643,51.4186259,-2.5604802,4,,
3797560644,51.4186595,-2.5602499,3,,
3797560645,51.4186858,-2.560493,4,,
3797560650,51.4189009,-2.5609435,1,,
3797560655,51.4189284,-2.5606589,3,,
3797560656,51.4189934,-2.5606158,3,,
3797560899,51.4212181,-2.5625325,1,,
3797561245,51.431471,-2.5698104,3,,
3799889989,51.4163533,-2.5622421,3,,
3799889990,51.4163788,-2.5623376,1,,
3799889991,51.416451,-2.563734,1,,
3799889992,51.4164549,-2.5638401,3,,
3799890001,51.4167181,-2.5653164,3,,
3799890026,51.4171457,-2.5657386,3,,
3799890027,51.4171579,-2.5634172,3,,
3799890031,51.4171935,-2.561894,3,,
3799890055,51.418073,-2.5619473,3,,
3799890057,51.4181873,-2.5618164,3,,
3799890087,51.4238113,-2.5706837,3,,
3799890130,51.4240927,-2.5689661,3,,
3799949290,51.4316627,-2.5855528,1,,
3799949315,51.4330422,-2.5863025,3,,
3799949318,51.4357961,-2.5950286,3,,
3799949329,51.4361215,-2.595172,4,,
3799949341,51.4364141,-2.5953339,3,,
3799949342,51.4364524,-2.5935657,3,,
3799949343,51.4366667,-2.5979764,3,,
3805631895,51.4429871,-2.6172521,4,,
3805632210,51.4557337,-2.6256337,4,,
3805632217,51.4558608,-2.6257491,3,,
3805843404,51.4330151,-2.6100261,3,traffic_signals,
3805843409,51.4331404,-2.6100373,3,traffic_signals,
3805843412,51.4332091,-2.6105391,3,,
3805843447,51.4336531,-2.6113584,3,,
3805846267,51.434007,-2.6124371,3,,
3805846293,51.4343313,-2.6119147,1,,
3805846302,51.4343695,-2.6103305,3,,
3805846316,51.4344398,-2.6175885,4,,
3805846319,51.4344507,-2.6174424,4,,
3805846320,51.4344613,-2.6079467,3,,
3805846324,51.4345131,-2.612588,1,,
3805846328,51.4345387,-2.6148166,3,,
