,y,x,street_count,highway,ref
785881283,48.3975186,9.9966649,4,,
902583017,48.4006124,9.9863466,3,,
902583019,48.4009294,9.9861342,3,,
924155798,48.3976493,9.994325,1,bus_stop,
924198138,48.397168,9.9848407,3,,
977630029,48.3973722,9.9845134,3,,
993034118,48.3973106,9.9941804,3,,
1003104526,48.3970979,9.9903272,4,traffic_signals,
1011667354,48.4004982,9.9859694,4,,
1011753407,48.3973716,9.9866027,3,,
1011753409,48.3973264,9.9862383,3,,
1011753411,48.3972169,9.9858295,3,,
1022679182,48.3983886,9.9862827,1,,
1022769847,48.3976556,9.9975891,3,,
1035566813,48.3998756,9.9944669,3,,
1111766506,48.3974688,9.9952415,4,crossing,
1111766507,48.397409,9.9953001,3,,
1111766513,48.3970021,9.995481,3,,
1132608996,48.40175,9.9975111,3,,
1132627859,48.3999025,9.9942413,3,,
1234939489,48.3980765,9.9857063,1,,
1236596520,48.3973208,9.9954913,3,,
1236596521,48.3973797,9.9967342,3,,
1236596527,48.3972573,9.9960657,3,,
1236596529,48.3971943,9.9955421,3,,
1236596537,48.3976527,9.9975205,3,,
1236596560,48.3973868,9.9961677,3,,
1236596562,48.397411,9.9967043,3,,
1237321392,48.4007288,9.9949217,1,,
1237321397,48.4009537,9.9949224,3,,
1237856943,48.4006232,9.9975643,3,,
1237856951,48.3999666,9.9975721,3,,
1252288422,48.3973658,9.9848603,3,,
1254638716,48.3974562,9.985517,3,,
1254638725,48.3978591,9.9847047,1,,
1254638730,48.3979242,9.9844507,3,,
1254638737,48.3974045,9.9850951,3,,
1254638745,48.3978636,9.98458,4,traffic_signals,
1254638750,48.3978887,9.9846808,1,,
1254638754,48.3978707,9.9844818,4,traffic_signals,
1254638757,48.3979496,9.9846264,1,,
1254638759,48.3977622,9.9849336,3,,
1254638769,48.3979178,9.9846567,1,,
1255522398,48.397977,9.9845337,3,,
1255522430,48.3975909,9.9884712,3,,
1255608093,48.3972488,9.9920993,3,,
1255608114,48.3973033,9.9913857,3,,
1255608129,48.3976988,9.9920053,1,,
1255608143,48.3978842,9.9899482,3,,
1255608165,48.397415,9.9921039,3,,
1255608173,48.3979012,9.9900715,1,,
1255608204,48.3972481,9.9914036,3,traffic_signals,
1256796270,48.4007297,9.9854368,1,,
1256796273,48.4010129,9.9876995,4,crossing,
1256796279,48.4020398,9.9849738,4,,
1256796284,48.4018242,9.985939,3,,
1256796291,48.4011755,9.9876008,4,crossing,
1256796294,48.4010826,9.9843557,3,,
1256796299,48.4019271,9.9858821,4,,
1256796302,48.4022165,9.9856989,3,,
1256796304,48.4011065,9.9876413,4,crossing,
1256796314,48.4022368,9.9857821,3,,
1256796315,48.4012458,9.9874362,1,,
1256796319,48.400866,9.9847444,3,,
1256796324,48.401268,9.9875461,3,,
1256796327,48.4010728,9.9876613,4,crossing,
1256796358,48.4015396,9.9859062,3,,
1256796360,48.4010839,9.9845986,3,,
1256796362,48.4004471,9.9849851,3,,
1256796364,48.4014098,9.9843497,3,,
1256796370,48.400958,9.9877253,3,,
1256796373,48.4014154,9.9844212,3,,
1256796377,48.4014122,9.988134,3,,
1256796379,48.4013926,9.9885328,3,,
1258758954,48.3987904,9.9964338,3,,
1258758955,48.3987285,9.996397,3,,
1260070650,48.3977828,9.9870522,1,,
1289429279,48.4009692,9.9954476,3,,
1345116944,48.4015526,9.9874476,3,,
1345116955,48.4021063,9.9937854,4,,
1345116959,48.4020814,9.9937907,4,,
1345116960,48.4017696,9.9911735,4,,
1345116961,48.4024752,9.9965584,4,,
1345116968,48.4020378,9.9967298,3,,
1345116986,48.4024464,9.9969822,3,,
1345116994,48.4022929,9.9950503,4,,
1345117004,48.4017992,9.9911671,4,,
1345117006,48.4020391,9.9937984,4,,
1345117008,48.4022624,9.9950609,4,,
1345117012,48.4022417,9.9950696,4,,
1347581780,48.4029055,9.9963388,3,,
1347581792,48.4029815,9.9967429,4,,
1352338818,48.3989394,9.9855911,1,,
1352338820,48.3987581,9.9859767,1,,
1352338825,48.4001482,9.9849118,3,,
1352338826,48.3981769,9.9868799,1,,
1353731794,48.3978956,9.9845666,4,,
1353731795,48.3978234,9.984597,4,crossing,
1353731796,48.3979324,9.984552,4,crossing,
1366592694,48.3985256,9.983433,3,,
1370202371,48.4001876,9.9834095,4,,
1370202445,48.4006791,9.9843903,3,,
1370202484,48.4009275,9.9849946,3,,
1376162630,48.4010195,9.9938853,3,,
1376168657,48.4007484,9.9855261,3,,
1376168662,48.4011777,9.985965,3,,
1384313355,48.3993874,9.9825489,1,,
1384313383,48.3993267,9.9827901,1,,
1384313386,48.3993246,9.9827077,3,,
1384313402,48.3993758,9.9822191,3,,
1384313407,48.3993851,9.9824749,3,,
1384313414,48.3994246,9.9822164,3,,
1384313452,48.3993768,9.9822899,1,,
1384313462,48.399481,9.9822132,3,,
1384313469,48.399431,9.9824723,4,,
1384313479,48.3994878,9.9824691,3,,
1384313482,48.3994368,9.9826992,4,,
1384313493,48.3995593,9.9827728,1,,
